parcelle,jannat
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000B0323,"1900"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0392,"1961"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0384,"1962"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1972"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"0000"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"0000"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
9300100000A0224,"1973"
