"","tot","Freq"
"217","orge->ble->ble->orge->orge",1
"218","orge->ble->mais->mais->orge",1
"219","orge->ble->orge->a_indus->ble",1
"220","orge->ble->orge->a_indus->orge",1
"221","orge->ble->orge->ble->orge",1
"222","orge->ble->orge->fou->pt",1
"223","orge->ble->orge->orge->orge",1
"224","orge->ble->plte_fb->orge->ble",1
"225","orge->ble->prot->colz->ble",1
"226","orge->colz->-1->-1->-1",1
"227","orge->colz->ble->ble->mais",1
"228","orge->colz->ble->orge->colz",1
"229","orge->colz->ble->orge->leg_fl",1
"230","orge->colz->ble->orge->leg_gr",1
"231","orge->colz->ble->orge->mais",1
"232","orge->colz->ble->orge->olea",1
"233","orge->colz->ble->orge->pt",1
"234","orge->colz->ble->prot->ble",1
"235","orge->colz->ble->prot->orge",1
"236","orge->colz->div->div->leg_gr",1
"237","orge->div->colz->ble->ble",1
"238","orge->fou->ble->orge->fou",1
"239","orge->fou->fou->fou->fou",1
"240","orge->fou->orge->orge->fou",1
"241","orge->gel_sp->-1->-1->-1",1
"242","orge->gel_sp->a_indus->orge->orge",1
"243","orge->gel_sp->ble->gel_sp",1
"244","orge->gel_sp->ble->orge->a_indus",1
"245","orge->gel_sp->div->gel_sp->gel_sp",1
"246","orge->gel_sp->gel_sp->-1->-1",1
"247","orge->leg_fl->-1->-1->-1",1
"248","orge->leg_fl->ble->a_indus->cer_2nd",1
"249","orge->leg_fl->ble->orge->a_indus",1
"250","orge->mais->ble->a_indus->ble",1
"251","orge->mais->ble->a_indus->orge",1
"252","orge->mais->mais->orge->ble",1
"253","orge->olea->colz->ble->orge",1
"254","orge->orge->a_indus->ble->a_indus",1
"255","orge->orge->a_indus->ble->gel_sp",1
"256","orge->orge->ble->ble->plte_fb",1
"257","orge->orge->ble->orge->ble",1
"258","orge->orge->ble->orge->leg_fl",1
"259","orge->orge->ble->orge->mais",1
"260","orge->orge->ble->orge->orge",1
"261","orge->orge->colz->ble->a_indus",1
"262","orge->orge->gel_sp->ble->gel_sp",1
"263","orge->orge->gel_sp->gel_sp->gel_sp",1
"264","orge->orge->leg_fl->ble->orge",1
"265","orge->orge->orge->gel_sp->gel_sp",1
"266","orge->orge->orge->gel_sp->orge",1
"267","orge->orge->orge->orge->-1",1
"268","orge->orge->orge->orge->gel_sp",1
"269","orge->orge->plte_fb",1
"270","orge->plte_fb->ble->ble->div",1
"271","orge->plte_fb->ble->orge->mais",1
"272","orge->plte_fb->ble->plte_fb->-1",1
"273","orge->plte_fb->cer_2nd->orge->pt",1
"274","orge->plte_fb->div->div->div",1
"275","orge->plte_fb->orge->orge",1
"276","orge->plte_fb->orge->orge->plte_fb",1
"277","orge->prot->ble->gel_sp->ble",1
"278","orge->prot->ble->orge->a_indus",1
"279","orge->prot->ble->orge->ble",1
"280","plte_fb->ble->ble->a_indus->ble",1
"281","plte_fb->ble->ble->plte_fb->ble",1
"282","plte_fb->ble->ble->plte_fb->cer_2nd",1
"283","plte_fb->ble->gel_sp->gel_sp->gel_sp",1
"284","plte_fb->ble->orge->a_indus->ble",1
"285","plte_fb->ble->orge->div->ble",1
"286","plte_fb->ble->orge->orge->gel_sp",1
"287","plte_fb->ble->orge->orge->orge",1
"288","plte_fb->ble->orge->orge->plte_fb",1
"289","plte_fb->ble->orge->plte_fb->leg_gr",1
"290","plte_fb->ble->orge->plte_fb->TRN",1
"291","plte_fb->ble->orge->pt->pt",1
"292","plte_fb->ble->plte_fb->orge->-1",1
"293","plte_fb->cer_2nd->gel_sp->gel_sp->gel_sp",1
"294","plte_fb->cer_2nd->orge->plte_fb->ble",1
"295","plte_fb->div->ble->gel_sp->gel_sp",1
"296","pp->pp->pp->pp->pp",1
"297","prot->ble->a_indus->a_indus->a_indus",1
"298","prot->ble->ble->a_indus->ble",1
"299","prot->ble->ble->ble->orge",1
"300","prot->ble->ble->orge->prot",1
"301","prot->ble->colz->ble->a_indus",1
"302","prot->ble->div->a_indus->cer_2nd",1
"303","prot->ble->fou->fou->fou",1
"304","prot->ble->leg_fl->ble->orge",1
"305","prot->ble->orge->a_indus->cer_2nd",1
"306","prot->ble->orge->ble->orge",1
